Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
18-Jul-23,EQ,620.4,620.85,607,618.5,611.4,612.1,612.34,634.8,375.2,"1,03,59,400","6,34,34,87,925.85","1,97,655"
17-Jul-23,EQ,626.9,627,617.15,624.9,619,618.5,620.26,634.8,375.2,"75,80,645","4,70,19,35,428.25","1,61,770"
14-Jul-23,EQ,623,626,619.5,620.65,624.5,624.9,622.85,634.8,375.2,"70,10,179","4,36,62,83,471.05","1,17,051"
13-Jul-23,EQ,625,626.5,615.5,621.45,623.35,620.65,622.04,634.8,375.2,"96,89,708","6,02,74,22,532.80","1,75,194"
12-Jul-23,EQ,629.95,630.8,619.35,628.5,620.05,621.45,624.84,634.8,375.2,"1,07,85,502","6,73,92,09,788.00","2,05,307"
11-Jul-23,EQ,624.95,630.45,622.15,618.65,628.95,628.5,625.88,634.8,375.2,"1,20,51,173","7,54,26,21,843.90","2,37,986"
10-Jul-23,EQ,624,634.8,617.55,618.2,619.4,618.65,625.48,634.8,375.2,"2,38,02,524","14,88,79,85,314.70","3,42,034"
07-Jul-23,EQ,600,624.8,592.2,600.8,622.9,618.2,607.47,624.8,375.2,"2,10,66,726","12,79,73,64,224.05","2,49,477"
06-Jul-23,EQ,590.8,604.95,588.55,588.25,601,600.8,597.4,604.95,375.2,"1,43,56,681","8,57,67,30,578.00","2,22,847"
05-Jul-23,EQ,592,593,584.95,591.45,589.9,588.25,588.78,602.3,375.2,"87,15,919","5,13,17,86,266.40","1,50,738"
04-Jul-23,EQ,594.4,596.4,589.5,590.8,591.9,591.45,592.93,602.3,375.2,"69,17,886","4,10,18,00,207.05","1,17,731"
03-Jul-23,EQ,600,602.3,590,595.55,591.9,590.8,594.87,602.3,375.2,"1,11,31,048","6,62,15,39,987.55","2,11,601"
30-Jun-23,EQ,588.35,599,588,586.65,595.2,595.55,594.94,599,375.2,"1,24,88,047","7,42,96,51,079.45","2,83,716"
28-Jun-23,EQ,579,590,575.5,573.1,586,586.65,584.81,590,375.2,"1,67,20,940","9,77,85,65,684.55","2,23,026"
27-Jun-23,EQ,570,576.9,568.45,567.85,572.75,573.1,573.44,585.9,375.2,"94,04,450","5,39,29,33,906.70","1,78,988"
26-Jun-23,EQ,560,569,557.8,559.65,568.45,567.85,563.79,585.9,375.2,"69,86,621","3,93,89,56,595.10","1,17,244"
23-Jun-23,EQ,570,571.15,557.7,569.35,560.45,559.65,561.07,585.9,375.2,"93,62,695","5,25,31,15,281.10","1,69,014"
22-Jun-23,EQ,584,584.7,568.2,581.4,570.5,569.35,575.59,585.9,375.2,"1,12,29,179","6,46,34,30,994.05","1,63,564"
21-Jun-23,EQ,584.95,585.9,574.5,583.25,581.4,581.4,580.49,585.9,375.2,"91,46,332","5,30,93,69,582.50","1,41,750"
20-Jun-23,EQ,566.05,583.95,562.5,566.05,583.05,583.25,576.62,583.95,375.2,"1,80,74,902","10,42,22,84,289.60","2,37,264"
19-Jun-23,EQ,570.65,573.2,564.2,569.8,566.4,566.05,568.5,576.55,375.2,"62,80,388","3,57,03,69,796.50","1,10,083"
16-Jun-23,EQ,569.65,572.2,566.05,568.45,569.85,569.8,569.1,576.55,375.2,"87,36,313","4,97,18,28,846.75","1,24,969"
15-Jun-23,EQ,571.8,575,567.75,570.3,568.5,568.45,570.84,576.55,375.2,"1,24,75,759","7,12,17,18,474.45","1,74,201"
14-Jun-23,EQ,566,571.2,564,562.2,569.75,570.3,567.76,576.55,375.2,"1,27,13,256","7,21,80,66,743.45","1,50,717"
13-Jun-23,EQ,567.7,571.05,560.75,564.15,562.45,562.2,564.83,576.55,375.2,"1,28,45,897","7,25,57,15,972.55","2,33,002"
12-Jun-23,EQ,567,568.9,560.65,562.3,563.8,564.15,564.2,576.55,375.2,"75,99,572","4,28,76,93,145.50","1,33,928"
09-Jun-23,EQ,564.4,566.45,559.3,559.7,562.15,562.3,562.97,576.55,375.2,"93,61,533","5,27,02,60,140.50","1,30,073"
08-Jun-23,EQ,570,576.55,557,567.95,560.5,559.7,565.72,576.55,375.2,"2,15,27,339","12,17,84,37,334.20","2,55,530"
07-Jun-23,EQ,558.8,575,552.15,555.75,567.1,567.95,565.55,575,375.2,"2,08,55,239","11,79,46,18,216.50","2,52,610"
06-Jun-23,EQ,549.45,557,545.35,546.25,556.45,555.75,552.52,557,375.2,"1,53,95,092","8,50,61,65,599.65","2,01,706"
05-Jun-23,EQ,539,548.8,537.9,535.9,545.5,546.25,544.66,548.8,375.2,"1,50,08,325","8,17,44,38,010.90","3,07,401"
02-Jun-23,EQ,537,541.25,532.75,535.2,535.1,535.9,536.06,541.25,375.2,"1,22,94,728","6,59,07,30,363.10","1,58,429"
